# Source: NOAA NCEI U.S. Climate Normals 1991-2020 (monthly) and Global Summary of the Month (public domain).
# International venues: rounded 1991-2020 normals from the national weather services (see the tool).
# https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
# Temperatures in F, precipitation and snow in inches per month, wind in mph. Blank means no data.
# Written by tools/fetch-data.mjs. Do not edit by hand.
key,station,month,tmax_f,tmin_f,precip_in,snow_in,wind_mph
PHX,USW00023183,1,67.6,46.0,0.9,0.0,4.8
PHX,USW00023183,2,70.8,49.0,0.9,0.0,5.5
PHX,USW00023183,3,78.1,54.5,0.8,0.0,6.3
PHX,USW00023183,4,85.5,60.8,0.2,0.0,7.1
PHX,USW00023183,5,94.5,69.5,0.1,0.0,7.2
PHX,USW00023183,6,104.2,78.6,0.0,0.0,7.0
PHX,USW00023183,7,106.5,84.5,0.9,0.0,7.4
PHX,USW00023183,8,105.1,83.6,0.9,0.0,6.8
PHX,USW00023183,9,100.4,78.1,0.6,0.0,6.2
PHX,USW00023183,10,89.2,65.6,0.6,0.0,5.6
PHX,USW00023183,11,76.5,53.7,0.6,0.0,4.9
PHX,USW00023183,12,66.2,45.3,0.7,0.0,4.7
ATL,USW00013874,1,54.0,35.6,4.6,1.0,9.2
ATL,USW00013874,2,58.2,38.9,4.5,0.4,9.3
ATL,USW00013874,3,65.9,45.3,4.7,0.4,9.4
ATL,USW00013874,4,73.8,52.5,3.8,0.0,8.7
ATL,USW00013874,5,81.1,61.3,3.6,0.0,7.7
ATL,USW00013874,6,87.1,68.6,4.5,0.0,7.2
ATL,USW00013874,7,90.1,71.8,4.8,0.0,6.8
ATL,USW00013874,8,89.0,71.3,4.3,0.0,6.6
ATL,USW00013874,9,83.9,65.9,3.8,0.0,7.4
ATL,USW00013874,10,74.4,54.9,3.3,0.0,7.8
ATL,USW00013874,11,64.1,44.2,4.0,0.0,8.2
ATL,USW00013874,12,56.2,38.4,4.6,0.4,8.8
BAL,USW00093721,1,43.2,25.4,3.1,6.4,7.6
BAL,USW00093721,2,46.4,26.9,2.9,7.5,7.9
BAL,USW00093721,3,54.8,33.9,4.0,2.8,8.4
BAL,USW00093721,4,66.5,43.6,3.4,0.0,8.2
BAL,USW00093721,5,75.5,53.3,3.9,0.0,6.9
BAL,USW00093721,6,84.4,62.6,4.0,0.0,6.3
BAL,USW00093721,7,88.8,67.7,4.5,0.0,5.8
BAL,USW00093721,8,86.5,65.8,4.1,0.0,5.4
BAL,USW00093721,9,79.7,58.8,4.4,0.0,5.9
BAL,USW00093721,10,68.3,46.5,3.9,0.0,6.1
BAL,USW00093721,11,57.3,36.5,3.1,0.1,6.6
BAL,USW00093721,12,47.5,29.6,3.7,2.5,7.0
BUF,USW00014733,1,32.1,19.0,3.4,26.7,12.0
BUF,USW00014733,2,33.3,19.5,2.5,18.1,11.6
BUF,USW00014733,3,41.8,26.4,2.9,14.1,10.8
BUF,USW00014733,4,54.7,36.5,3.4,2.5,10.7
BUF,USW00014733,5,67.4,48.3,3.4,0.0,9.7
BUF,USW00014733,6,75.6,58.1,3.4,0.0,9.1
BUF,USW00014733,7,80.2,63.1,3.2,0.0,8.8
BUF,USW00014733,8,79.0,61.7,3.2,0.0,8.1
BUF,USW00014733,9,72.3,54.5,4.1,0.0,8.4
BUF,USW00014733,10,59.6,43.9,4.0,0.9,9.6
BUF,USW00014733,11,47.8,34.2,3.5,7.8,10.6
BUF,USW00014733,12,37.2,25.6,3.8,25.3,11.1
CLT,USW00013881,1,52.3,31.8,3.5,1.6,6.4
CLT,USW00013881,2,56.6,34.9,3.1,1.1,7.0
CLT,USW00013881,3,64.2,41.2,4.0,0.3,7.5
CLT,USW00013881,4,73.2,49.1,3.8,0.0,7.5
CLT,USW00013881,5,80.1,58.0,3.4,0.0,6.5
CLT,USW00013881,6,86.9,66.2,4.0,0.0,5.9
CLT,USW00013881,7,90.3,69.9,3.7,0.0,5.5
CLT,USW00013881,8,88.6,68.7,4.3,0.0,5.2
CLT,USW00013881,9,82.8,62.6,3.7,0.0,5.9
CLT,USW00013881,10,73.3,50.4,3.2,0.0,5.5
CLT,USW00013881,11,62.9,39.8,3.3,0.1,5.7
CLT,USW00013881,12,54.9,34.5,3.6,0.4,5.9
CHI,USW00094846,1,31.6,18.8,2.0,11.3,10.9
CHI,USW00094846,2,35.7,21.8,2.0,10.7,10.8
CHI,USW00094846,3,47.0,31.0,2.5,5.5,10.8
CHI,USW00094846,4,59.0,40.3,3.8,1.3,11.2
CHI,USW00094846,5,70.5,50.6,4.5,0.0,9.8
CHI,USW00094846,6,80.4,60.8,4.1,0.0,8.7
CHI,USW00094846,7,84.5,66.4,3.7,0.0,8.1
CHI,USW00094846,8,82.5,65.1,4.3,0.0,7.7
CHI,USW00094846,9,75.5,57.1,3.2,0.0,8.4
CHI,USW00094846,10,62.7,45.4,3.4,0.2,9.6
CHI,USW00094846,11,48.4,34.1,2.4,1.8,10.4
CHI,USW00094846,12,36.6,24.4,2.1,7.6,10.1
CVG,USW00093814,1,39.6,23.1,3.3,7.7,9.4
CVG,USW00093814,2,43.7,25.8,3.2,6.7,9.5
CVG,USW00093814,3,53.5,33.8,4.2,3.4,9.7
CVG,USW00093814,4,65.5,43.7,4.5,0.4,9.7
CVG,USW00093814,5,74.5,53.7,4.7,0.0,7.8
CVG,USW00093814,6,82.6,62.1,4.8,0.0,7.0
CVG,USW00093814,7,86.0,65.9,3.8,0.0,6.4
CVG,USW00093814,8,85.2,64.6,3.4,0.0,6.2
CVG,USW00093814,9,78.9,57.3,3.1,0.0,6.5
CVG,USW00093814,10,66.7,45.7,3.4,0.2,7.5
CVG,USW00093814,11,53.8,35.1,3.2,0.8,8.6
CVG,USW00093814,12,43.3,27.9,3.7,4.1,8.8
CLE,USW00014820,1,35.8,22.3,3.0,18.4,11.3
CLE,USW00014820,2,38.5,23.7,2.5,15.1,10.7
CLE,USW00014820,3,47.1,30.7,3.1,10.8,10.6
CLE,USW00014820,4,60.1,40.8,3.8,2.7,10.3
CLE,USW00014820,5,71.1,51.4,3.8,0.0,9.0
CLE,USW00014820,6,79.8,61.1,3.8,0.0,8.3
CLE,USW00014820,7,83.7,65.3,3.7,0.0,7.8
CLE,USW00014820,8,82.0,63.9,3.6,0.0,7.5
CLE,USW00014820,9,75.6,57.1,3.9,0.0,8.1
CLE,USW00014820,10,63.7,46.5,3.6,0.1,9.3
CLE,USW00014820,11,51.3,36.7,3.4,4.5,10.5
CLE,USW00014820,12,40.4,28.2,3.0,12.2,10.7
DFW,USW00003927,1,56.5,36.1,2.5,0.1,10.6
DFW,USW00003927,2,60.9,40.1,2.8,1.0,11.1
DFW,USW00003927,3,68.6,47.8,3.3,0.3,12.0
DFW,USW00003927,4,76.1,55.2,3.2,0.0,12.2
DFW,USW00003927,5,83.6,64.5,4.8,0.0,11.3
DFW,USW00003927,6,91.5,72.2,3.7,0.0,10.6
DFW,USW00003927,7,95.6,75.8,2.1,0.0,9.9
DFW,USW00003927,8,95.8,75.7,2.2,0.0,8.6
DFW,USW00003927,9,88.6,68.5,2.7,0.0,8.4
DFW,USW00003927,10,78.4,57.1,4.4,0.0,9.6
DFW,USW00003927,11,66.6,46.2,2.5,0.0,10.4
DFW,USW00003927,12,57.9,38.3,2.8,0.2,10.1
DEN,USW00003017,1,44.6,18.7,0.4,6.3,9.6
DEN,USW00003017,2,45.7,19.7,0.4,9.1,10.0
DEN,USW00003017,3,55.7,27.5,0.9,8.2,10.7
DEN,USW00003017,4,61.7,33.9,1.7,4.8,11.5
DEN,USW00003017,5,71.2,43.6,2.2,1.2,10.4
DEN,USW00003017,6,83.4,53.0,1.9,0.0,10.2
DEN,USW00003017,7,89.9,60.2,2.1,0.0,9.6
DEN,USW00003017,8,87.5,58.3,1.6,0.0,9.4
DEN,USW00003017,9,79.6,50.0,1.4,0.1,9.3
DEN,USW00003017,10,65.3,37.0,1.0,4.8,9.6
DEN,USW00003017,11,52.9,26.0,0.6,4.5,9.6
DEN,USW00003017,12,44.0,18.4,0.3,10.3,9.6
DTW,USW00094847,1,32.3,19.2,2.2,14.0,10.6
DTW,USW00094847,2,35.2,20.8,2.1,12.5,10.2
DTW,USW00094847,3,45.9,28.6,2.4,6.2,9.9
DTW,USW00094847,4,58.7,39.1,3.3,1.5,10.1
DTW,USW00094847,5,70.3,50.2,3.7,0.0,8.7
DTW,USW00094847,6,79.7,60.2,3.3,0.0,7.9
DTW,USW00094847,7,83.7,64.4,3.5,0.0,7.6
DTW,USW00094847,8,81.4,63.2,3.3,0.0,7.1
DTW,USW00094847,9,74.4,55.5,3.2,0.0,7.4
DTW,USW00094847,10,62.0,44.0,2.5,0.0,8.9
DTW,USW00094847,11,48.6,33.9,2.6,1.9,9.9
DTW,USW00094847,12,37.2,25.3,2.3,8.9,10.0
GRB,USW00014898,1,25.5,11.1,1.4,14.3,9.4
GRB,USW00014898,2,29.0,13.2,1.2,12.0,9.5
GRB,USW00014898,3,40.4,23.9,2.0,8.1,9.4
GRB,USW00014898,4,53.8,34.8,3.0,4.7,10.4
GRB,USW00014898,5,67.1,46.0,3.4,0.0,9.2
GRB,USW00014898,6,76.6,56.2,4.1,0.0,7.7
GRB,USW00014898,7,81.0,60.1,3.6,0.0,6.9
GRB,USW00014898,8,78.9,58.2,3.4,0.0,6.4
GRB,USW00014898,9,71.7,50.2,3.2,0.0,7.3
