# Source: US Social Security Administration, national baby name data, male births 1975-2025 (public domain).
# https://www.ssa.gov/oact/babynames/limits.html
# Columns b1975..b2025 are births in each five-year bucket starting that year, divided by 10 and rounded.
# Written by tools/fetch-data.mjs. Do not edit by hand.
name,b1975,b1980,b1985,b1990,b1995,b2000,b2005,b2010,b2015,b2020,b2025
Michael,33776,34139,32242,27459,18788,14259,10812,8147,6375,4454,809
Christopher,23638,27787,27700,21499,14530,11015,9323,6052,4164,2795,475
Matthew,16035,22719,23177,19364,15804,12744,9419,6863,5647,3705,700
Joshua,10980,19003,20649,18565,14354,12889,10317,6474,4154,2708,477
David,20167,20067,18302,14450,10921,9491,8519,6470,5204,3882,679
James,19715,18867,16782,14242,10256,8540,7778,6869,7100,6058,1195
Daniel,12955,16480,18073,15069,12168,10679,9718,7377,6019,4464,809
John,17267,17060,15055,13233,10782,9022,7089,5471,4809,4034,803
Joseph,12798,15294,14648,14063,12012,10834,8663,6387,5185,3903,730
William,12359,12634,12194,11554,10228,10115,9326,8487,7511,5752,1055
Andrew,7741,11427,17080,14910,12384,11200,9059,6308,4200,2646,450
Jacob,2762,5028,7398,12979,16862,15522,11886,9679,6653,3903,615
Ryan,9856,13486,14407,13461,10664,9529,7795,5342,3759,2243,353
Robert,17070,16758,15407,12283,8263,6052,4615,3490,2776,2055,377
Anthony,8422,9661,11525,11610,10013,9875,9318,6694,4521,3307,597
Nicholas,5054,10134,12196,13892,13641,10711,7050,3992,2689,1787,312
Jason,26240,19579,9634,4652,4521,4878,3978,2898,2163,1351,222
Justin,6262,13825,15157,12355,9659,7446,4854,2980,1580,1029,151
Brandon,4369,10377,12844,13604,12338,8389,5911,3550,1863,945,133
Jonathan,6138,11079,11917,10749,9002,7792,6693,4746,3243,2156,382
Benjamin,5625,6834,7303,6744,6650,7059,6672,6570,6881,5516,976
Alexander,1338,2341,5860,9453,8942,8737,9148,7812,6404,4392,723
Kevin,9783,8812,10055,9672,6851,6027,5081,3198,1934,1032,163
Thomas,8218,8746,9036,8009,6655,5752,4459,3476,3527,3287,692
Brian,15168,13190,10210,7015,4916,4035,2943,1502,909,579,98
Tyler,756,2484,6161,13494,12738,9468,7091,3953,1984,1150,163
Eric,10193,10450,9973,8149,5376,4057,2891,1818,1337,822,126
Zachary,1439,3160,7022,11730,10799,8391,5084,3122,1993,1156,165
Samuel,2598,3062,4284,5733,6827,7240,6625,5698,5115,4199,833
Noah,341,693,545,764,4863,6361,7992,8838,9499,9567,2036
Nathan,4618,5437,5162,5217,5516,6721,6765,5105,3698,2678,498
Aaron,5890,7013,6823,7153,5684,4540,4160,3737,3312,2331,404
Adam,6058,10644,8865,6148,4543,3881,3222,2624,2446,1807,350
Ethan,311,361,688,2635,4058,9887,10296,8443,6468,4274,785
Charles,7289,6985,6205,5268,3976,3736,3797,3543,3460,2923,590
Steven,8291,8607,9139,7623,4488,3139,2252,1559,1131,723,126
Timothy,8922,8819,8465,6513,4265,3043,2205,1589,1234,925,173
Kyle,1961,4547,9648,10289,7733,4908,2708,1480,934,424,59
Jose,3594,4181,4484,5865,6039,6218,5357,3162,2356,1940,368
Christian,1150,1227,1802,5206,7400,7395,6849,4892,3528,2266,364
Richard,8533,8172,7302,5721,3767,2735,2123,1512,1163,849,151
Austin,350,881,2250,6921,12093,6788,4490,3377,2536,1797,310
Dylan,250,400,1017,5446,6762,7728,6285,5086,4550,3493,621
Jeremy,9744,8298,7044,4794,2986,2093,1656,1324,1031,726,115
Jordan,395,1663,4054,7511,6965,5403,4716,3830,2623,1922,273
Logan,118,367,1031,2185,4172,6175,7229,6555,6130,3862,558
Gabriel,1544,1682,1550,2236,3246,5574,6409,5904,4658,3493,657
Elijah,231,355,402,851,2614,4824,6218,6955,6760,6094,1111
Liam,48,68,84,192,998,1658,2836,7785,9617,10402,2082
Mark,7691,6861,6084,4467,3115,2201,1525,1146,965,724,142
Jeffrey,8666,7875,6604,4341,2358,1538,1054,736,539,341,54
Mason,140,149,405,1099,2189,3836,5215,8834,6957,4102,629
Patrick,4281,5383,5758,5539,3754,2647,1832,1411,1120,861,150
Lucas,736,1367,1242,1764,2054,2757,4342,5524,6342,5558,1022
Sean,3668,4549,5838,5328,3872,3544,2869,1404,750,415,62
Caleb,321,736,1329,2601,4029,5566,5443,4936,3738,2869,522
Luke,729,1373,1332,1841,2602,4275,4776,4669,4659,3720,695
Cameron,531,702,1758,3464,4649,5354,4236,3604,3016,2507,435
Jack,824,787,807,1106,2644,4417,5134,4198,4372,4464,875
Isaac,656,896,941,1441,2586,4208,4869,4918,4540,3404,595
Stephen,4885,5465,5898,4763,2753,1722,1169,787,655,467,83
Cody,680,1618,4411,9100,5549,3017,1871,1014,677,558,108
Jackson,99,140,182,681,1679,3858,5591,6158,5468,4078,658
Paul,5896,5619,4820,3554,2339,1703,1394,1021,882,681,132
Juan,2409,2559,2586,3465,3627,3894,3691,2201,1542,1271,232
Bryan,3690,3869,4182,3280,2696,3224,2969,1617,953,593,101
Evan,496,1225,2024,2879,3061,4141,5074,4015,2461,1460,241
Jesse,2834,4440,4151,4285,3094,2251,2089,1401,1090,960,200
Henry,1034,1032,1041,1176,1349,1708,2568,4005,5254,5603,1202
Scott,7521,5964,4851,3214,1688,1019,605,387,303,243,56
Hunter,74,164,423,1524,4529,5376,4110,4060,3432,1858,276
Aiden,2,2,6,22,142,1815,6541,7308,5660,3775,505
Kenneth,4647,4619,4292,3453,2373,1879,1530,1120,901,668,115
Travis,3806,5201,5092,4523,2298,1394,1180,890,600,444,73
Jayden,1,2,7,35,277,2098,6762,7817,4793,3141,465
