# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
New York,NY,USA,8258035
Los Angeles,CA,USA,3820914
Chicago,IL,USA,2664452
Houston,TX,USA,2314157
Phoenix,AZ,USA,1650070
Philadelphia,PA,USA,1550542
San Antonio,TX,USA,1495295
San Diego,CA,USA,1388320
Dallas,TX,USA,1302868
Jacksonville,FL,USA,985843
Austin,TX,USA,979882
Fort Worth,TX,USA,978468
San Jose,CA,USA,969655
Columbus,OH,USA,913175
Charlotte,NC,USA,911311
Indianapolis,IN,USA,879293
San Francisco,CA,USA,808988
Seattle,WA,USA,755078
Denver,CO,USA,716577
Oklahoma City,OK,USA,702767
Nashville,TN,USA,687788
Washington,DC,USA,678972
El Paso,TX,USA,678958
Las Vegas,NV,USA,660929
Boston,MA,USA,653833
Detroit,MI,USA,633218
Portland,OR,USA,630498
Louisville,KY,USA,622981
Memphis,TN,USA,618639
Baltimore,MD,USA,565239
Milwaukee,WI,USA,561385
Albuquerque,NM,USA,560274
Tucson,AZ,USA,547239
Fresno,CA,USA,545716
Sacramento,CA,USA,526384
Mesa,AZ,USA,511648
Atlanta,GA,USA,510823
Kansas City,MO,USA,510704
Colorado Springs,CO,USA,488664
Omaha,NE,USA,483335
Raleigh,NC,USA,482295
Miami,FL,USA,455924
Virginia Beach,VA,USA,453649
Long Beach,CA,USA,449468
Oakland,CA,USA,436504
Minneapolis,MN,USA,425115
Bakersfield,CA,USA,413381
Tulsa,OK,USA,411894
Tampa,FL,USA,403364
Arlington,TX,USA,398431
Wichita,KS,USA,396119
Aurora,CO,USA,395052
New Orleans,LA,USA,364136
Cleveland,OH,USA,362656
Honolulu,HI,USA,341778
Anaheim,CA,USA,340512
Henderson,NV,USA,337305
Orlando,FL,USA,320742
Lexington,KY,USA,320154
Stockton,CA,USA,319543
Riverside,CA,USA,318858
Corpus Christi,TX,USA,316595
Irvine,CA,USA,314621
Cincinnati,OH,USA,311097
Santa Ana,CA,USA,310539
Newark,NJ,USA,304960
St. Paul,MN,USA,303820
Pittsburgh,PA,USA,303255
Greensboro,NC,USA,302296
Durham,NC,USA,296186
Lincoln,NE,USA,294757
Jersey City,NJ,USA,291657
Plano,TX,USA,290190
Anchorage,AK,USA,286075
North Las Vegas,NV,USA,284771
St. Louis,MO,USA,281754
Madison,WI,USA,280305
Chandler,AZ,USA,280167
Gilbert,AZ,USA,275411
Reno,NV,USA,274915
Buffalo,NY,USA,274678
Chula Vista,CA,USA,274333
Fort Wayne,IN,USA,269994
Lubbock,TX,USA,266878
Toledo,OH,USA,265304
St. Petersburg,FL,USA,263553
Laredo,TX,USA,257602
Irving,TX,USA,254373
Chesapeake,VA,USA,253886
Glendale,AZ,USA,253855
Winston-Salem,NC,USA,252975
Port St. Lucie,FL,USA,245021
Scottsdale,AZ,USA,244394
Garland,TX,USA,243470
Boise City,ID,USA,235421
Norfolk,VA,USA,230930
Spokane,WA,USA,229447
Richmond,VA,USA,229247
Fremont,CA,USA,226208
Huntsville,AL,USA,225564
Frisco,TX,USA,225007
Cape Coral,FL,USA,224455
Santa Clarita,CA,USA,224028
San Bernardino,CA,USA,223728
Tacoma,WA,USA,222906
Hialeah,FL,USA,221300
Baton Rouge,LA,USA,219573
Modesto,CA,USA,218915
Fontana,CA,USA,215465
McKinney,TX,USA,213509
Moreno Valley,CA,USA,212392
Des Moines,IA,USA,210381
Fayetteville,NC,USA,209749
Salt Lake City,UT,USA,209593
Yonkers,NY,USA,207657
Worcester,MA,USA,207621
Rochester,NY,USA,207274
Sioux Falls,SD,USA,206410
Little Rock,AR,USA,203842
Amarillo,TX,USA,202408
Tallahassee,FL,USA,202221
Grand Prairie,TX,USA,202134
Columbus,GA,USA,201877
Augusta-Richmond County,GA,USA,200884
Peoria,AZ,USA,198750
Oxnard,CA,USA,198488
Knoxville,TN,USA,198162
Overland Park,KS,USA,197089
Birmingham,AL,USA,196644
Grand Rapids,MI,USA,196608
Vancouver,WA,USA,196442
Montgomery,AL,USA,195287
Huntington Beach,CA,USA,192129
Providence,RI,USA,190792
Brownsville,TX,USA,190158
Tempe,AZ,USA,189834
Akron,OH,USA,188701
Glendale,CA,USA,187050
Chattanooga,TN,USA,187030
Fort Lauderdale,FL,USA,184255
Newport News,VA,USA,183118
Mobile,AL,USA,182595
Ontario,CA,USA,182457
Clarksville,TN,USA,180716
Cary,NC,USA,180010
Elk Grove,CA,USA,178444
Shreveport,LA,USA,177959
Eugene,OR,USA,177899
Aurora,IL,USA,177563
Salem,OR,USA,177432
Santa Rosa,CA,USA,175845
Rancho Cucamonga,CA,USA,174405
Pembroke Pines,FL,USA,171119
